,id,current_version,folder_id,title,content_length,create_by,create_on
4751,9213994,0,3113450.0,2023-08-30-DC-Meeting-note.docx,209518,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-17T09:07:16
7457,9457353,0,2890075.0,Minimum Viable Documentation v3.docx,82514,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
4749,9211383,0,3085672.0,Drop in report.docx,2088575,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-15T16:02:45
4748,9211383,0,3085672.0,Drop in report.docx,2128512,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-15T16:02:45
7458,9457353,0,2890075.0,Minimum Viable Documentation v3.docx,82592,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
4746,9209571,0,3179592.0,23-08-14_Co-chairs-IPO.docx,161449,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-14T06:57:45
4745,9209571,0,3179592.0,23-08-14_Co-chairs-IPO.docx,209518,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-14T06:57:45
7459,9457353,0,2890075.0,Minimum Viable Documentation v3.docx,96013,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
4753,9213994,0,3113450.0,2023-08-30-DC-Meeting-note.docx,72308,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-17T09:07:16
7460,9457353,0,2890075.0,Minimum Viable Documentation v3.docx,101516,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
4741,9206827,0,3112291.0,23-09-13_Panel-Meeting_AGENDA.docx,290917,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4740,9206827,0,3112291.0,23-09-13_Panel-Meeting_AGENDA.docx,291139,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4739,9206827,0,3112291.0,23-09-13_Panel-Meeting_AGENDA.docx,290602,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4738,9206827,0,3112291.0,23-09-13_Panel-Meeting_AGENDA.docx,165647,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4737,9206827,0,3112291.0,23-09-13_Panel-Meeting_AGENDA.docx,164661,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4736,9206827,0,3112291.0,23-09-13_Panel-Meeting_AGENDA.docx,168044,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4735,9206827,0,3112291.0,23-09-13_Panel-Meeting_AGENDA.docx,168005,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4734,9206827,0,3112291.0,23-09-13_Panel-Meeting_AGENDA.docx,167934,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4742,9206827,0,3112291.0,23-09-13_Panel-Meeting_AGENDA.docx,290873,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4796,9230759,0,3165791.0,23-08-29 WIP Co-Chairs- IPO.docx,419482,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-25T14:32:43
4797,9230759,0,3165791.0,23-08-29 WIP Co-Chairs- IPO.docx,421125,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-25T14:32:43
7449,9457353,0,2890075.0,Minumun Viable Documentation v3.docx,78265,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
4863,9238608,0,3115624.0,FEoCMIP_kickoff.pptx,16482879,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-31T07:38:08
4862,9238608,0,3115624.0,FEoCMIP_kickoff.pptx,16482252,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-31T07:38:08
4861,9238608,0,3115624.0,FEoCMIP_kickoff.pptx,16148803,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-31T07:38:08
4860,9238608,0,3115624.0,FEoCMIP_kickoff.pptx,16147607,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-31T07:38:08
